ko,from,name,description,disease_category,drug_recommended
H00354,D01053,Syphilis,"Syphilis is one of the oldest recognized venereal infections caused by the spirochete Treponema pallidum subsp. pallidum. It is characterized by genital ulceration, skin rash, and development of serious systemic disease. Syphilis may also alter the course of HIV disease. Effective therapy is available but the incidence is increasing in many parts of the world.",Infectious disease,Penicillin G potassium
H01639,D09336,Endometriosis,"Endometriosis is defined as the growth of the endometrial glands and stroma at extra-uterine sites, which are most commonly implanted over and under visceral and peritoneal surfaces within the female pelvis but which can also be found in the connective tissue in the pelvis areas and, more rarely, in any anatomic district. It is a major cause of infertility, dysmenorrhea, dyspareunia, and chronic pelvic pain, mediated by marked pelvic inflammation. While retrograde menstruation is the most widely accepted cause, its pathogenesis and natural course are not fully understood. Endometriosis is known to be a estrogen-dependent disease, manifests during reproductive years.",Reproductive system disease,Elagolix sodium
H00083,D05095,Allograft rejection,"Allograft rejection is the consequence of the recipient's alloimmune response to nonself antigens expressed by donor tissues. After transplantation of organ allografts, there are two pathways of antigen presentation. In the direct pathway, recipient T cells react to intact allogeneic MHC molecules expressed on the surface of donor cells. This pathway would activate host CD4 or CD8 T cells. In contrast, donor MHC molecules (and all other proteins) shed from the graft can be taken up by host APCs and presented to recipient T cells in the context of self-MHC molecules - the indirect pathway. Such presentation activates predominantly CD4 T cells. A direct cytotoxic T-cell attack on graft cells can be made only by T cells that recognize the graft MHC molecules directly. Nontheless, T cells with indirect allospecificity can contribute to graft rejection by activating macrophages, which cause tissue injury and fibrosis, and are also likely to be important in the development of an alloantibody response to graft.",Immune system disease,Mycophenolate sodium
H01483,D00780,Acromegaly,"Acromegaly (ACM) is a disorder characterized by increased circulating GH and IGF-I (a GH-induced liver protein) levels that is associated with significant morbidity and excess mortality. Patients with persistently elevated GH and IGF-I levels have an increased risk of multiple comorbidities, including left ventricular dysfunction, obstructive sleep apnea, arthritis, impaired glucose tolerance, and colonic polyps. Most cases of ACM occur as a result of a sporadic GH-secreting pituitary adenoma (PA). However, ACM can occur in a familial setting, either associated with other endocrine abnormalities or as an isolated disorder. Somatic activating mutations in the GNAS gene, which encodes for the Gs-alpha subunit of G-proteins, are found in up to 40% of sporadic GH-secreting PA. Familial ACM can occur in the context of rare inherited syndromes such as familial isolated pituitary adenoma (FIPA), which is caused in 15-20% of cases by aryl hydrocarbon receptor interacting protein (AIP) gene germline mutations. Moreover, a recurrent mutation was found in GPR101 in some patients with non-familial ACM.",Endocrine disease,Bromocriptine mesylate
H02352,D06271,Vaccinia,"Vaccinia is an infectious disease caused by vaccinia virus, an orthopoxvirus in the Poxviridae family of dsDNA viruses. Vaccinia virus has been used as a smallpox vaccine. Several serious complications such as encephalitis, progressive vaccinia, eczema vaccinatum, and generalized vaccinia and disseminated vaccinia have been reported.",Infectious disease,Vaccinia immune globulin
H01742,D00515,Coronary artery disease,"Coronary artery disease (CAD) is one of the leading causes of death globally. CAD is coupled to a pathogenic process in which lipids and lipoproteins accumulate in the subendothelial intimal layer of the vessel wall. A variety of environmental and genetic risk factors are associated with CAD, including hypercholesterolemia, hypertension, obesity, diabetes, and a family history of early CAD. It has been reported that an autosomal dominant form of CAD is caused by the mutation in transcription factor MEF2A. A missense mutation in LRP6, which encodes a co-receptor in the Wnt signaling pathway, has also been identified.",Vascular disease,Nitroglycerin
H01563,D01982,HIV infection,"The human immunodeficiency virus (HIV) is a lentivirus (a subgroup of retrovirus) that causes HIV infection and over time acquired immunodeficiency syndrome (AIDS). Two types of HIV has been characterized. HIV-1 is the most virulent and pathogenic strain. Worldwide, the predominant virus is HIV-1. The relatively uncommon HIV-2 type is concentrated in West Africa and is rarely found elsewhere. Infection with HIV occurs by transfer of blood, semen, and breast milk. The identification of HIV as the causative agent of AIDS catalyzed efforts to develop antiviral agents. The licenced anti-HIV drugs fall into some categories: reverse transcriptase inhibitors (NRTIs and NNRTIs), integrase inhibitors, protease inhibitors (PIs), fusion inhibitors (FIs), and coreceptor inhibitors. The advent of highly active antiretroviral therapy (HAART) as the standard of care for the treatment of HIV infection was seminal in reducing the morbidity and mortality associated with HIV infection and progression to AIDS. Combination antiretroviral therapy dramatically suppresses HIV replication and reduces the plasma HIV-1 viral load, resulting in significant reconstitution of the immune system.",Infectious disease,Tenofovir disoproxil fumarate
H00027,D00369,Ovarian cancer,"Ovarian cancer is the sixth most common cancer and the fifth leading cause of cancer-related death among women in developed countries. Approximately 90% of human ovarian cancer arises within the ovarian surface epithelium (OSE), with the rest originating from granulosa cells or, rarely, stroma or germ cells. Ovarian epithelial tumors are divided into mucinous, serous, endometrioid, and clear cell subtypes. Approximately 10% of ovarian cancers arise in women who have inherited mutations in cancer susceptibility genes (BRCA1 or BRCA2). The vast majority of ovarian cancers are sporadic, resulting from the accumulation of genetic damage over a lifetime. Several specific genes involved in ovarian carcinogenesis have been identified, including the p53 tumor suppressor gene and ERBB2 and PIK3CA oncogenes.",Cancer,Melphalan
H00213,D10595,Hypophosphatasia,Hypophosphatasia is an autosomal recessive disorder caused by deficiency of alkaline phosphatase activity and characterized by defective bone and teeth mineralization.,Inherited metabolic disease,Asfotase alfa
H01047,D00134,Cysticercosis,"Taenia solium, the pork tapeworm, is endemic in many poorer countries of Latin America, Africa, and Asia, where pigs are raised. Human infection with T. solium occurs after ingestion of undercooked pork infected with cysticerci. The larval stage of T. solium infects the human nervous system, causing neurocysticercosis. Neurocysticercosis causes acquired epilepsy and death.",Infectious disease,Albendazole
H00010,D00287,Multiple myeloma,"Multiple myeloma is a disorder in which malignant plasma cells accumulate, generally derived from one clone in the bone marrow. Intricate interactions occur between the bone-marrow microenvironment and the myeloma cells, frequently causing bone destruction, which in turn stimulates tumor growth. Often it is preceded by a premalignant tumor called monoclonal gammopathy of undetermined significance (MGUS). Multiple oncogenic events have been identified that have contributed to the pathogenesis of myeloma. Among the earliest genetic events are translocations of the immunoglobulin heavy-chain gene locus, which leads to dysregulation of oncogenes at translocation partner regions (cyclin D1 at 11q13, FGFR3/MMSET at 4p16.3, c-MAF at 16q23, and cyclin D3 at 6p21), and deletions of 13q14, the site of a putative tumor suppressor gene. Additional molecular events include epigenetic changes and activation of oncogenes (mutations of N-RAS and K-RAS, and changes in c-MYC), which are usually associated with disease progression.",Cancer,Cyclophosphamide
H01649,D00283,Schizophrenia,"Schizophrenia is a common serious psychotic illness that typically emerges in late adolescence and early adulthood. It is characterized by hallucinations and delusions (commonly known as positive symptoms), social withdrawal, alogia, and flat affect (negative symptoms), and cognitive disabilities. While treatments exist for the psychotic symptoms of schizophrenia, there is no effective therapy to prevent the cognitive impairments. The disorder is substantially heritable, but expression of the clinical phenotype is likely to involve the interplay of multiple susceptibility variants, epigenetic factors, and environmental influences. Although it has been suggested that many of the promising candidate genes are involved in the development and maintenance of synaptic function, the most of them remains to be identified. The pathogenic mechanisms underlying schizophrenia are unknown, but observers have repeatedly noted pathological features involving excessive loss of gray matter and reduced numbers of synaptic structures on neurons. Recently, it has been found that alleles of the C4 genes are associated with schizophrenia in proportion to their tendency to promote greater expression of C4A in the brain.",Mental and behavioural disorder,Clozapine
H01450,D00825,Obsessive-compulsive disorder,"Obsessive-compulsive disorder (OCD) is a psychiatric disorder characterized by recurrent, intrusive and disturbing thoughts as well as by repetitive stereotypic behaviors. OCD is a complex disorder and its pathogenesis is most likely influenced by both genetic and environmental factors. Although more than 140 candidate gene studies have been conducted, the findings have been inconclusive due to small sample size and few study replications. Many studies suggest that abnormal serotonergic neurotransmission is one of the most consistent biological findings in OCD. Studies have also reported dopaminergic abnormalities in the basal ganglia and nucleus accumbens, as well as altered glutamate transmission. First line treatments for this disorder are cognitive behavioral therapy (exposure and response prevention) and selective serotonin reuptake inhibitors (SSRIs). In recent years, one of the promising novel treatment strategies developed to improve the efficacy of treatment for patients with OCD is acceptance and commitment therapy (ACT). Recent studies have suggested that age of onset is an important factor in subtyping OCD. Early-onset OCD has been proposed to be associated with greater symptom severity, a higher prevalence of tic-related disorders, a more familial form of the condition, and a greater prevalence of psychiatry disorders in first-degree relatives as compared to late-onset OCD.",Mental and behavioural disorder,Sertraline hydrochloride
H01674,D00981,Ankylosing spondylitis,"Ankylosing spondylitis (AS), formerly also known as Bechterew's disease, is a rheumatic disease of the axial skeleton that mainly affects the spine and the sacroiliac joint in the pelvis. AS is one of a group of inflammatory diseases, called spondyloarthritides, which share features. This disease is characterized by erosion, sclerosis, and ossification, which may result in complete fusion and rigidity of the spine. Regarding extra-articular manifestations, the most frequent is anterior uveitis. The major functional losses occur during the first 10 years of disease. It usually begins in the second or third decade of life, preferentially in HLA-B27-positive Caucasian males. Its etiology and pathogenesis are not completely understood, but the most prevalent hypothesis involves immune mediation as its major mechanism, including several cytokines. To date, more than 40 genetic variants have been identified that influence the risk of developing AS, including HLA alleles such as HLA-B27. Non-steroid anti-inflammatory drugs (NSAIDs) are used to reduce pain and inflammation. Additional disease-modifying anti-rheumatic drugs (DMARDs) are prescribed to slowdown disease progression. The most frequently applied biological agents approved for AS are TNF alpha inhibitors. The IL-17 inhibitor secukinumab has been recently approved for moderate-to-severe plaque psoriasis, psoriatic arthritis, and AS.",Immune system disease; Musculoskeletal disease,Prednisolone sodium phosphate
H00018,D00208,Gastric cancer,"Gastric cancer (GC) is one of the world's most common cancers. According to Lauren's histological classification gastric cancer is divided into two distinct histological groups - the intestinal and diffuse types. Several genetic changes have been identified in intestinal-type GC. The intestinal metaplasia is characterized by mutations in p53 gene, reduced expression of retinoic acid receptor beta (RAR-beta) and hTERT expression. Gastric adenomas furthermore display mutations in the APC gene, reduced p27 expression and cyclin E amplification. In addition, amplification and overexpression of c-ErbB2, reduced TGF-beta receptor type I (TGFBRI) expression and complete loss of p27 expression are commonly observed in more advanced GC. The main molecular changes observed in diffuse-type GCs include loss of E-cadherin function by mutations in CDH1and amplification of MET and FGFR2F.",Cancer,Mitomycin
H01633,D00340,High blood pressure,"High blood pressure (hypertension) is the most frequent classic cardiovascular risk factor and accounts for a large proportion of cardiovascular mortality, the main cause of death worldwide. Hypertension is generally classified as primary (essential) or secondary. Essential hypertension (EH) is the most common diagnosis in this disease, suggesting that a monocausal etiology has not been identified. However, a number of risk factors associated with EH have also been identified such as age, sex, demographic, environmental, genetic, and vascular factors. Secondary hypertension generally has an earlier age at onset, no family history, and a clear cause such as a renal or endocrine disorder, or an iatrogenic trigger, such as use of oral contraceptives. Blood pressure is a heritable trait; an estimated 30% of variance in blood pressure relates to genetic factors. Understanding of the genetic architecture of traits has progressed in rare mendelian hypertensive phenotypes, such as Gordon's syndrome.",Cardiovascular disease,Hydrochlorothiazide
H00010,D04687,Multiple myeloma,"Multiple myeloma is a disorder in which malignant plasma cells accumulate, generally derived from one clone in the bone marrow. Intricate interactions occur between the bone-marrow microenvironment and the myeloma cells, frequently causing bone destruction, which in turn stimulates tumor growth. Often it is preceded by a premalignant tumor called monoclonal gammopathy of undetermined significance (MGUS). Multiple oncogenic events have been identified that have contributed to the pathogenesis of myeloma. Among the earliest genetic events are translocations of the immunoglobulin heavy-chain gene locus, which leads to dysregulation of oncogenes at translocation partner regions (cyclin D1 at 11q13, FGFR3/MMSET at 4p16.3, c-MAF at 16q23, and cyclin D3 at 6p21), and deletions of 13q14, the site of a putative tumor suppressor gene. Additional molecular events include epigenetic changes and activation of oncogenes (mutations of N-RAS and K-RAS, and changes in c-MYC), which are usually associated with disease progression.",Cancer,Lenalidomide
H00020,D03455,Colorectal cancer,"Colorectal cancer (CRC) is the second largest cause of cancer-related deaths in Western countries. CRC arises from the colorectal epithelium as a result of the accumulation of genetic alterations in defined oncogenes and tumour suppressor genes (TSG). Two major mechanisms of genomic instability have been identified in sporadic CRC progression. The first, known as chromosomal instability (CIN), results from a series of genetic changes that involve the activation of oncogenes such as K-ras and inactivation of TSG such as p53, DCC/Smad4, and APC. The second, known as microsatellite instability (MSI), results from inactivation of the DNA mismatch repair genes MLH1 and/or MSH2 by hypermethylation of their promoter, and secondary mutation of genes with coding microsatellites, such as transforming growth factor receptor II (TGF-RII) and BAX. Hereditary syndromes have germline mutations in specific genes (mutation in the tumour suppressor gene APC on chromosome 5q in FAP, mutated DNA mismatch repair genes in HNPCC).",Cancer,Cetuximab
H01730,D05597,Myocardial infarction,"Myocardial infarction (MI) or acute myocardial infarction (AMI) is a term for an event of heart attack. It is due to formation of plaques in the interior walls of the arteries resulting in reduced blood flow to the heart and injuring heart muscles because of lack of oxygen supply. The symptoms of MI include chest pain, which travels from left arm to neck, shortness of breath, nausea, epigastric discomfort, syncope, diaphoresis, and other factors. The diagnosis of MI is dependent on the sensitivity and specificity of the clinical criteria, electrocardiographic (ECG) findings, imaging studies and biomarkers used to detect death of cardiomyocytes. The treatment of MI includes, aspirin tablets, and to dissolve arterial blockage injection of thrombolytic or clot dissolving drugs such as tissue plasminogen activator, streptokinase or urokinase in blood within 3 h of the onset of a heart attack. Nitroglycerin and antihypertensive drugs such as beta-blockers and ACE inhibitors may also be used to lower blood pressure and to improve the oxygen demand of heart.",Cardiovascular disease,Prasugrel hydrochloride
H00612,D02374,Primary open angle glaucoma,"Primary open angle glaucoma (POAG) is the most prevalent form of glaucoma, and a major cause of irreversible blindness. POAG is often accompanied by ocular hypertension and characterized by progressive loss of retinal ganglion cells, atrophy of the optic nerve, and visual field loss. To date, at least 20 genetic loci for POAG have been reported. And four causative genes (CYP1B1, MYOC, OPTN, and WDR36) are identified from these loci. In addition, recently, heterozygous NTF4 mutation was associated with the phenotype in a small percentage of patients.",Nervous system disease,Metipranolol
H02420,D10316,Head and neck cancer,"Head and neck cancers are a heterogeneous collection of malignancies of the upper aerodigestive tract, salivary glands and thyroid. The most common type of cancer in the head and neck is squamous cell carcinoma. It mainly originates from the mucosal space, which extends from the skull base to the proximal esophagus. The head and neck region is subdivided in the oral cavity, pharynx and larynx. The pharyngeal space contains the nasopharynx, oropharynx and hypopharynx and includes the tonsils, the floor of the mouth and the soft palate. Although head and neck squamous cell carcinoma (HNSCC) is traditionally associated with smoking and alcohol drinking, a growing proportion of head and neck tumors, mainly of the oropharynx, are associated with human papilloma virus (HPV).",Cancer,Nivolumab
H00612,D06274,Primary open angle glaucoma,"Primary open angle glaucoma (POAG) is the most prevalent form of glaucoma, and a major cause of irreversible blindness. POAG is often accompanied by ocular hypertension and characterized by progressive loss of retinal ganglion cells, atrophy of the optic nerve, and visual field loss. To date, at least 20 genetic loci for POAG have been reported. And four causative genes (CYP1B1, MYOC, OPTN, and WDR36) are identified from these loci. In addition, recently, heterozygous NTF4 mutation was associated with the phenotype in a small percentage of patients.",Nervous system disease,Tafluprost
H01328,D02501,Aspergillosis,"Pulmonary aspergillus infections can be classified based on clinical syndromes into saprophytic infections, allergic disease and invasive disease. Invasive pulmonary aspergillosis, occurring in immunocompromised patients, reflects the most serious disease with a high case-fatality rate. Of the 185 recognized species of Aspergillus, 20 are known to cause infections in humans. Aspergillus fumigatus accounts for about 65 percent of all invasive infections in humans and is the mostly encountered species in pulmonary infections. Aspergillus flavus, Aspergillus niger, Aspergillus terreus and Aspergillus nidulans are less frequently causes of invasive and pulmonary infections.",Infectious disease,Caspofungin acetate
H01555,D10574,Merkel cell carcinoma,"Merkel cell carcinoma (MCC) is a cutaneous neuroendocrine malignancy that exhibits clinically aggressive features and is associated with a poor prognosis. Ultraviolet (UV) radiation may be a cause, and corresponds with the sites of these tumours, often on sun-exposed skin, mostly (94%) in the White population. UV light may exert local immunomodulating action as it decreases amount of epidermal T cells and Langerhans cells, inducing hapten tolerance. Additionally, UV- specific mutations in TP53 and Harvey (Ha)-RAS genes are present in some MCC cell lines. Recently, the polyomavirus group has been linked with MCC. The MCC polyomavirus (MCPyV) has been isolated from MCC tissue and thought to be present in up to 80% of MCC. Tumorigenesis likely is caused by a number of sequential steps from viral integration into host DNA, mutagenic events, and specific immune responses.",Cancer,Pembrolizumab
H01602,D11114,Gastroesophageal reflux disease,"Gastro-oesophageal reflux disease (GERD) is a condition in which reflux of the stomach contents into the oesophagus results in symptoms or, occasionally, complications. GERD can be classified as non-erosive reflux disease (NERD) or erosive reflux disease (ERD) based on the presence or absence of esophageal mucosal damage seen on endoscopy. ERD can manifest in a wide range of symptoms which can be subdivided into typical, atypical, and extraesophageal symptoms. Typical symptoms include heartburn and acid regurgitation which have high specificity but low sensitivity for GERD. Atypical symptoms such as epigastric pain, dyspepsia, nausea, bloating, and belching may be suggestive of GERD but may overlap with other conditions in the differential diagnosis. Lastly, there are various extraesophageal symptoms including chronic cough, asthma, laryngitis, and dental erosions. In a small but important minority, complications of peptic oesophagitis may occur including oesophageal strictures, Barrett's oesophagus, and rarely oesophageal adenocarcinoma. Hiatus hernia is statistically associated with GERD, the presence of which is relevant to surgical treatment. The diagnosis is typically made by a combination of clinical symptoms, response to acid suppression, as well as objective testing with upper endoscopy and esophageal pH monitoring. GERD is a chronic disease that typically requires long term management in the form of lifestyle modification, medical therapy and, for a subset of patients, surgical therapy. The mainstay of treatment is acid suppression which can be achieved with several classes of medications including antacids, histamine-receptor antagonists (H2RAs), or proton-pump inhibitors (PPIs).",Digestive system disease,Esomeprazole magnesium dihydrate
H00412,D02745,Hepatitis B,"Hepatitis B is an infectious disease caused by hepatitis B virus (HBV) belonging to the Hepadnaviridae family of dsDNA-RT viruses. Both acute and chronic hepatitis B can be caused by blood-borne HBV infections. The risk of developing chronic hepatitis B is directly related to the age of first infection, much higher for infants. Chronic hepatitis B may eventaully lead to cirrhosis and hepatocellular carcinoma.",Infectious disease,Interferon alfa-2b
H00310,D02122,Q fever,"Q fever is a worldwide zoonosis caused by Coxiella burnetii, a gram-negative obligate intracellular bacterium. This infection has many different reservoirs that mainly consist of dairy cattle. Infection in humans is often asymptomatic, but may appear either in an acute form accompanied mainly by fever (self-limited flu-like disease, pneumonia, or hepatitis) or in a chronic form (mainly endocarditis).",Infectious disease,Tetracycline hydrochloride
H01358,D00983,Atopic dermatitis,"Atopic dermatitis (AD) is a relapsing chronic inflammatory skin disease characterized by eczematous skin lesions and intense pruritus. A genetic defect in the filaggrin (FLG) protein and/or environmental factors are thought to cause AD by disrupting the epidermis. This disruption, in turn, results in contact between immune cells in the dermis and antigens from the external environment leading to intense itching, scratching, and inflammation. Apart from FLG, recent genome-wide association studies (GWASs) have identified many susceptibility loci of atopic dermatitis with genome-wide significance.",Immune system disease,Triamcinolone acetonide
H00409,D11711,Type 2 diabetes mellitus,"Type 2 diabetes mellitus (T2DM) is characterized by chronic hyperglycemia due to insulin resistance of peripheral tissues (skeletal muscle, liver, adipose tissue) and insufficient compensatory insulin secretion by pancreatic beta cells. Both insulin resistance and beta cell dysfunction are thought to result from the complex interplay of many different pathways under the combined control of environmental and genetic factors. It is accepted that T2DM results from population aging and adverse environmental factors of the modern world which favor the development of obesity.",Metabolic disease; Endocrine disease,"Dapagliflozin, metformin and saxagliptin"
H00409,D10265,Type 2 diabetes mellitus,"Type 2 diabetes mellitus (T2DM) is characterized by chronic hyperglycemia due to insulin resistance of peripheral tissues (skeletal muscle, liver, adipose tissue) and insufficient compensatory insulin secretion by pancreatic beta cells. Both insulin resistance and beta cell dysfunction are thought to result from the complex interplay of many different pathways under the combined control of environmental and genetic factors. It is accepted that T2DM results from population aging and adverse environmental factors of the modern world which favor the development of obesity.",Metabolic disease; Endocrine disease,Glipizide and metformin hydrochloride
H01466,D00165,Ulcerative colitis,"Ulcerative colitis (UC) is one subtype of inflammatory bowel disease (IBD) whose pathogenesis is multifactorial and includes influences from genes, the environment, and the gut microbiome. In UC the inflammatory is limited to the musoca of the colon and rectum. Clinically, the most common manifestation of UC may include bloody diarrhea, abdominal pain. In most severe cases, patients may experience fever, weight loss, anemia, and the intestine can get distended, presenting deep ulceration and possibly intestinal perforation.The long-time duration of the disease increases a colorectal caner risk. UC is associated with a Th2 immune response. Recent genetic analyses have linked genes including interleukin 23 receptor, interleukin 10 and macrophage stimulating 1.",Immune system disease,Hydrocortisone acetate
H00001,D08933,B-cell acute lymphoblastic leukemia,"Acute lymphocytic leukemia (ALL) is a clonal stem cell malignancy of excessive lymphoblast proliferation. It is now understood that ALL and lymphoblastic lymphoma are the same disease entities at the morphologic and immunophenotypic levels and classified as either B- and T-cell lymphoblastic leukemia/lymphoma (B-ALL and T-ALL). In the case of B-ALL, numerous reports have demonstrated that recurring genetic abnormalities are associated with sufficiently unique clinical, immunophenotypic, and/or prognostic features so that they can be considered as distinct entities. The most common rearrangements observed in B-ALL are the t(12;21) (p13;q22) rearrangement resulting in expression of the ETV6-RUNX1 fusion (TEL-AML1); the t(1;19) (q23;p13) translocation that results in expression of the TCF3 (E2A) fusion partner, (also known as TCF3) TFPT-PBX1 fusion (E2A-PBX); the t(9;22) (q34;q11.2) 'Philadelphia' chromosome resulting in expression of the BCR-ABL1 fusion; and rearrangements of MLL (also known as KMT2A) at 11q23 to a diverse array of fusion partners. If none of these specific genetic abnormalities are found, the designation of 'B lymphoblastic leukemia/lymphoma, not otherwise specified,' is appropriate.",Cancer,Inotuzumab ozogamicin
H01646,D00484,Major depressive disorder,"Major depressive disorder (MDD) is the most common psychiatric disorder mainly characterized by depressed mood, loss of interest, feelings of worthlessness, and a high risk of suicide. Accumulated evidence suggests that both environmental and genetic factors are involved in the etiology of MDD although the pathogenesis of MDD remains unknown. Mutations in genes involved in brain serotonin synthesis, have been identified in patients. Brain serotonin deficiency has been hypothesized to play a role in a wide range of psychiatric diseases, including MDD. Several efficacious treatments for MDD are available, including different forms of psychotherapy and antidepressant medication. Recently, selective reuptake inhibitors (SSRIs, SNRIs,) have become the first-line antidepressant drug treatment of depression and replaced tricyclic antidepressants (TCA) and monoamine oxidase inhibitors (MAOI) due to fewer side-effects and ease of use.",Mental and behavioural disorder,Protriptyline hydrochloride
H01723,D03353,Deep vein thrombosis,"Deep vein thrombosis (DVT) is the formation of blood clots (thrombi) in the deep veins. It can lead to complications such as postphlebitic syndrome, pulmonary embolism and death. DVT has genetic and acquired risk factors. The genetic risk factors can be subdivided into those that are strong, moderate and weak. Strong risk factors are deficiencies of antithrombin, protein C and protein S. Moderately strong are factor V Leiden, prothrombin 20210A, non-O blood group and fibrinogen 10034T. There are many weak genetic risk factors, including fibrinogen, factor XIII and factor XI variants. Acquired risk factors include surgery, oral contraceptives, trauma, obesity, cancer, and so on. In some patients, venous thrombosis occurs in the presence of such risk factors for DVT. These patients are classified as having secondary DVT. In the other patients, no predisposing factors are found, and thus, are considered as having an idiopathic DVT.",Hematologic disease,Dalteparin sodium
H01602,D05259,Gastroesophageal reflux disease,"Gastro-oesophageal reflux disease (GERD) is a condition in which reflux of the stomach contents into the oesophagus results in symptoms or, occasionally, complications. GERD can be classified as non-erosive reflux disease (NERD) or erosive reflux disease (ERD) based on the presence or absence of esophageal mucosal damage seen on endoscopy. ERD can manifest in a wide range of symptoms which can be subdivided into typical, atypical, and extraesophageal symptoms. Typical symptoms include heartburn and acid regurgitation which have high specificity but low sensitivity for GERD. Atypical symptoms such as epigastric pain, dyspepsia, nausea, bloating, and belching may be suggestive of GERD but may overlap with other conditions in the differential diagnosis. Lastly, there are various extraesophageal symptoms including chronic cough, asthma, laryngitis, and dental erosions. In a small but important minority, complications of peptic oesophagitis may occur including oesophageal strictures, Barrett's oesophagus, and rarely oesophageal adenocarcinoma. Hiatus hernia is statistically associated with GERD, the presence of which is relevant to surgical treatment. The diagnosis is typically made by a combination of clinical symptoms, response to acid suppression, as well as objective testing with upper endoscopy and esophageal pH monitoring. GERD is a chronic disease that typically requires long term management in the form of lifestyle modification, medical therapy and, for a subset of patients, surgical therapy. The mainstay of treatment is acid suppression which can be achieved with several classes of medications including antacids, histamine-receptor antagonists (H2RAs), or proton-pump inhibitors (PPIs).",Digestive system disease,Omeprazole magnesium
H00132,D11004,Mucopolysaccharidosis type VII,"Mucopolysaccharidosis type VII (MPS7) is an autosomal recessive lysosomal storage disorder caused by deficient activity of beta-glucuronidase in glycosaminoglycan degradation. The enzyme defect results in the accumulation of heparan sulfate, dermatan sulfate, and chondroitin-4,6-sulfate occurs in many organs, as well as elevated metabolite levels in urine. This disorder is characterized by mental retardation, coarse faces, dysostosis multiplex, hepatosplenomegaly, and hydrops fetails.",Inherited metabolic disease; Lysosomal storage disease,Vestronidase alfa
H00002,D01633,T-cell acute lymphoblastic leukemia,"Acute lymphocytic leukemia (ALL) is a clonal stem cell malignancy of excessive lymphoblast proliferation. It is now understood that ALL and lymphoblastic lymphoma are the same disease entities at the morphologic and immunophenotypic levels and classified as either B- and T-cell lymphoblastic leukemia/lymphoma (B-ALL and T-ALL). T-ALL comprises 15% of paediatric and 25% of adult ALL cases. T cell transformation is a multi-step process in which different genetic alterations cooperate to alter the normal mechanisms that control cell growth, proliferation, survival, and differentiation during thymocyte development. In this context, constitutive activation of NOTCH1 signaling is the most prominent oncogenic pathway in T cell transformation. In addition, T-ALLs characteristically show the translocation and aberrant expression of transcription factor oncogenes. These oncogenic transcription factors include T-cell leukaemia homeobox protein 1 (TLX1 also known as HOX11), TLX3 (HOX11L2), LYL1, TAL1 and MLL.",Cancer,Enocitabine
H00005,D02994,Chronic lymphocytic leukemia,"Chronic lymphocytic leukemia (CLL) is caused by the abnormal progressive accumulation of functionally incompetent monoclonal B-lymphocytes in blood, bone marrow, lymph nodes and spleen. It is the most common adult leukemia in Western countries, accounting for about 30% of total leukaemias. Worldwide there are approximately 180,000 new cases every year. A main focus in CLL research involved the evaluation of genetic features related to somatic gene mutation or deletions that disrupt apoptosis and enhance tumor cell proliferation. The best characterized genes are TP53 (also known as p53) and ATM, for which mutations and/or deletions have been described that predict rapid disease progression, resistance to conventional therapies and poor survival.",Cancer,Rituximab
H01646,D02408,Major depressive disorder,"Major depressive disorder (MDD) is the most common psychiatric disorder mainly characterized by depressed mood, loss of interest, feelings of worthlessness, and a high risk of suicide. Accumulated evidence suggests that both environmental and genetic factors are involved in the etiology of MDD although the pathogenesis of MDD remains unknown. Mutations in genes involved in brain serotonin synthesis, have been identified in patients. Brain serotonin deficiency has been hypothesized to play a role in a wide range of psychiatric diseases, including MDD. Several efficacious treatments for MDD are available, including different forms of psychotherapy and antidepressant medication. Recently, selective reuptake inhibitors (SSRIs, SNRIs,) have become the first-line antidepressant drug treatment of depression and replaced tricyclic antidepressants (TCA) and monoamine oxidase inhibitors (MAOI) due to fewer side-effects and ease of use.",Mental and behavioural disorder,Trimipramine maleate
H00398,D00900,Influenza,"Influenza is typically a self-limiting upper respiratory disease caused by three types of influenza viruses: influenza A, B, and C. Influenza A and B viruses cause highly contagious diseases whereas influenza C virus causes only mild upper respiratory tract illness. Influenza A virus is responsible for annual epidemics in humans with high mortality rates.",Infectious disease,Oseltamivir phosphate
H00010,D11222,Multiple myeloma,"Multiple myeloma is a disorder in which malignant plasma cells accumulate, generally derived from one clone in the bone marrow. Intricate interactions occur between the bone-marrow microenvironment and the myeloma cells, frequently causing bone destruction, which in turn stimulates tumor growth. Often it is preceded by a premalignant tumor called monoclonal gammopathy of undetermined significance (MGUS). Multiple oncogenic events have been identified that have contributed to the pathogenesis of myeloma. Among the earliest genetic events are translocations of the immunoglobulin heavy-chain gene locus, which leads to dysregulation of oncogenes at translocation partner regions (cyclin D1 at 11q13, FGFR3/MMSET at 4p16.3, c-MAF at 16q23, and cyclin D3 at 6p21), and deletions of 13q14, the site of a putative tumor suppressor gene. Additional molecular events include epigenetic changes and activation of oncogenes (mutations of N-RAS and K-RAS, and changes in c-MYC), which are usually associated with disease progression.",Cancer,Selinexor
